"season","playerId","gameId","squadId","firstname","surname","round","game","startingPositionCode","quartersPlayed","minutesPlayed","blocks","centrePassReceives","deflections","feeds","goalAssists","goalAttempts","goals","intercepts","passes","penalties","rebounds","turnovers"
2017,80003,"1_4","810","Kate","Beveridge",1,4,"GS",4,60,0,0,1,10,6,36,32,1,10,1,0,7
2017,80003,"10_4","810","Kate","Beveridge",10,4,"GS",2,30,0,0,0,1,0,23,17,0,1,2,1,5
2017,80003,"10_4","810","Kate","Beveridge",10,4,"I",1,11,0,0,1,4,3,10,8,0,4,0,1,1
2017,80003,"12_1","810","Kate","Beveridge",12,1,"GS",4,60,0,0,0,4,2,40,34,0,4,0,2,8
2017,80003,"13_3","810","Kate","Beveridge",13,3,"GS",4,60,0,0,0,4,1,31,24,0,4,4,2,7
2017,80003,"14_3","810","Kate","Beveridge",14,3,"GA",2,30,0,5,1,7,3,5,5,0,7,0,0,0
2017,80003,"2_2","810","Kate","Beveridge",2,2,"GS",3,45,0,0,0,3,2,26,24,0,3,2,3,6
2017,80003,"3_1","810","Kate","Beveridge",3,1,"GS",1,15,0,0,0,1,1,7,5,0,1,0,1,4
2017,80003,"4_2","810","Kate","Beveridge",4,2,"I",1,15,0,0,0,1,0,11,10,0,1,0,0,1
2017,80003,"6_1","810","Kate","Beveridge",6,1,"GA",2,30,0,13,2,1,0,22,18,0,1,0,1,6
2017,80003,"6_1","810","Kate","Beveridge",6,1,"I",1,5,0,1,0,0,1,3,3,0,0,1,0,0
2017,80003,"7_2","810","Kate","Beveridge",7,2,"I",1,2,0,0,0,0,0,1,0,0,0,0,0,1
2017,80009,"1_4","810","Natalie","Medhurst",1,4,"GA",4,60,0,15,0,24,13,20,19,1,24,0,1,3
2017,80009,"10_4","810","Natalie","Medhurst",10,4,"GA",4,60,0,18,3,24,10,16,13,0,24,3,0,3
2017,80009,"11_1","810","Natalie","Medhurst",11,1,"GA",4,60,0,19,2,17,6,18,15,0,17,4,1,5
2017,80009,"12_1","810","Natalie","Medhurst",12,1,"GA",4,60,0,26,1,18,11,23,16,0,18,2,1,5
2017,80009,"13_3","810","Natalie","Medhurst",13,3,"GA",4,60,0,13,1,17,7,23,18,0,17,1,0,4
2017,80009,"14_3","810","Natalie","Medhurst",14,3,"GA",2,30,0,8,1,10,4,7,3,0,10,3,0,4
2017,80009,"14_3","810","Natalie","Medhurst",14,3,"I",1,10,0,4,0,4,2,0,0,0,4,1,0,0
2017,80009,"2_2","810","Natalie","Medhurst",2,2,"GA",4,60,0,25,0,25,12,22,15,1,25,1,1,8
2017,80009,"3_1","810","Natalie","Medhurst",3,1,"GA",4,60,0,27,0,11,7,16,14,0,11,4,1,3
2017,80009,"4_2","810","Natalie","Medhurst",4,2,"GA",4,60,0,19,3,29,10,10,7,0,29,6,0,2
2017,80009,"5_1","810","Natalie","Medhurst",5,1,"GA",4,60,0,18,2,19,8,9,7,0,19,3,0,7
2017,80009,"6_1","810","Natalie","Medhurst",6,1,"GA",2,30,0,6,0,5,2,8,6,0,5,2,0,1
2017,80009,"6_1","810","Natalie","Medhurst",6,1,"GS",2,30,0,0,0,12,4,15,11,0,12,0,0,1
2017,80009,"7_2","810","Natalie","Medhurst",7,2,"GA",4,59,0,17,2,21,8,21,17,0,21,0,0,6
2017,80009,"8_1","810","Natalie","Medhurst",8,1,"GA",4,60,0,15,1,21,7,14,11,2,21,2,1,2
2017,80009,"9_2","810","Natalie","Medhurst",9,2,"GA",4,60,0,18,0,16,8,18,13,0,16,4,0,6
2017,80010,"1_3","8117","Geva","Mentor",1,3,"GK",4,60,0,0,3,0,0,0,0,2,0,19,3,0
2017,80010,"10_1","8117","Geva","Mentor",10,1,"GK",4,60,0,0,2,0,0,0,0,0,0,14,1,0
2017,80010,"11_3","8117","Geva","Mentor",11,3,"GK",4,60,0,0,6,0,0,0,0,2,0,16,2,1
2017,80010,"12_1","8117","Geva","Mentor",12,1,"GK",4,60,0,0,9,0,0,0,0,2,0,8,5,0
2017,80010,"13_2","8117","Geva","Mentor",13,2,"GK",4,60,1,0,10,0,0,0,0,7,0,16,4,0
2017,80010,"14_2","8117","Geva","Mentor",14,2,"GK",4,60,0,0,3,0,0,0,0,1,0,8,2,0
2017,80010,"15_2","8117","Geva","Mentor",15,2,"GK",4,60,1,0,5,0,0,0,0,0,0,20,0,0
2017,80010,"17_1","8117","Geva","Mentor",17,1,"GK",4,60,0,0,5,0,0,0,0,3,0,11,4,0
2017,80010,"2_4","8117","Geva","Mentor",2,4,"GK",4,60,0,0,5,0,0,0,0,2,0,12,2,0
2017,80010,"3_4","8117","Geva","Mentor",3,4,"GK",4,60,0,0,13,0,0,0,0,3,0,11,4,0
2017,80010,"4_3","8117","Geva","Mentor",4,3,"GK",4,60,0,0,8,0,0,0,0,3,0,13,1,1
2017,80010,"5_3","8117","Geva","Mentor",5,3,"GK",4,60,0,0,7,0,0,0,0,3,0,13,5,0
2017,80010,"6_1","8117","Geva","Mentor",6,1,"GK",4,60,0,0,4,0,0,0,0,5,0,12,5,1
2017,80010,"7_3","8117","Geva","Mentor",7,3,"GK",4,60,0,0,7,0,0,0,0,2,0,28,0,0
2017,80010,"8_4","8117","Geva","Mentor",8,4,"GK",4,60,0,0,6,0,0,0,0,5,0,14,2,0
2017,80010,"9_1","8117","Geva","Mentor",9,1,"GK",4,60,0,0,7,0,0,0,0,4,0,13,5,1
2017,80041,"1_2","8119","Madi","Robinson",1,2,"WA",4,60,0,21,0,29,13,0,0,0,29,6,0,5
2017,80041,"10_2","8119","Madi","Robinson",10,2,"WA",4,60,0,25,1,44,27,0,0,0,44,5,0,4
2017,80041,"11_3","8119","Madi","Robinson",11,3,"WA",4,60,0,22,2,28,8,0,0,1,28,7,0,3
2017,80041,"12_2","8119","Madi","Robinson",12,2,"WA",4,55,0,21,1,44,16,0,0,0,44,3,0,2
2017,80041,"13_3","8119","Madi","Robinson",13,3,"WA",4,60,0,16,0,39,13,0,0,0,39,5,0,3
2017,80041,"14_4","8119","Madi","Robinson",14,4,"WA",4,60,0,12,1,33,16,0,0,0,33,2,0,3
2017,80041,"15_1","8119","Madi","Robinson",15,1,"WA",4,60,0,29,0,35,23,0,0,2,35,7,0,3
2017,80041,"2_3","8119","Madi","Robinson",2,3,"WA",4,60,0,19,1,46,17,0,0,0,46,5,0,2
2017,80041,"3_2","8119","Madi","Robinson",3,2,"WA",4,60,0,32,1,34,25,0,0,0,34,3,0,1
2017,80041,"4_4","8119","Madi","Robinson",4,4,"WA",4,54,0,24,0,30,14,0,0,2,30,5,0,3
2017,80041,"5_3","8119","Madi","Robinson",5,3,"WA",4,60,0,23,0,39,15,0,0,0,39,2,0,4
2017,80041,"6_4","8119","Madi","Robinson",6,4,"WA",4,60,0,27,1,43,21,0,0,0,43,5,0,2
2017,80041,"7_4","8119","Madi","Robinson",7,4,"WA",4,60,0,22,0,36,17,0,0,0,36,5,0,1
2017,80041,"8_1","8119","Madi","Robinson",8,1,"WA",4,60,0,17,1,41,20,0,0,1,41,10,0,1
2017,80041,"9_3","8119","Madi","Robinson",9,3,"WA",4,60,0,28,1,39,26,0,0,0,39,3,0,2
2017,80045,"10_3","801","Renae","Ingles",10,3,"WD",4,60,0,5,3,5,3,0,0,2,5,10,0,0
2017,80045,"11_4","801","Renae","Ingles",11,4,"WD",4,60,0,15,6,0,0,0,0,3,0,6,0,1
2017,80045,"12_3","801","Renae","Ingles",12,3,"WD",4,60,0,4,3,0,0,0,0,1,0,9,0,0
2017,80045,"13_4","801","Renae","Ingles",13,4,"C",1,15,0,4,0,2,0,0,0,1,2,0,0,0
2017,80045,"13_4","801","Renae","Ingles",13,4,"WD",3,45,0,11,2,1,0,0,0,1,1,5,0,1
2017,80045,"14_4","801","Renae","Ingles",14,4,"WD",4,60,0,13,2,0,0,0,0,2,0,10,0,1
2017,80045,"6_3","801","Renae","Ingles",6,3,"C",3,45,0,0,6,13,6,0,0,1,13,9,0,5
2017,80045,"6_3","801","Renae","Ingles",6,3,"WD",1,15,0,4,0,0,0,0,0,2,0,2,0,0
2017,80045,"7_2","801","Renae","Ingles",7,2,"WD",4,60,0,9,3,0,0,0,0,0,0,3,0,1
2017,80045,"8_3","801","Renae","Ingles",8,3,"WD",4,60,0,13,3,0,0,0,0,0,0,9,0,0
2017,80045,"9_1","801","Renae","Ingles",9,1,"WD",4,60,0,6,1,0,0,0,0,0,0,9,0,3
2017,80048,"1_2","8119","Sharni","Layton",1,2,"GK",4,60,0,0,2,0,0,0,0,2,0,26,4,1
2017,80048,"10_2","8119","Sharni","Layton",10,2,"GK",4,60,0,0,7,0,0,0,0,6,0,22,0,0
2017,80048,"11_3","8119","Sharni","Layton",11,3,"GK",4,60,0,0,9,0,0,0,0,4,0,25,0,0
2017,80048,"12_2","8119","Sharni","Layton",12,2,"GK",4,60,0,0,3,0,0,0,0,1,0,16,2,0
2017,80048,"13_3","8119","Sharni","Layton",13,3,"GK",4,60,0,0,9,0,0,0,0,3,0,20,2,0
2017,80048,"14_4","8119","Sharni","Layton",14,4,"GK",4,60,0,0,11,0,0,0,0,2,0,19,6,1
2017,80048,"15_1","8119","Sharni","Layton",15,1,"GK",4,60,0,0,4,0,0,0,0,5,0,10,2,0
2017,80048,"2_3","8119","Sharni","Layton",2,3,"GK",4,60,0,0,9,0,0,0,0,4,0,22,1,1
2017,80048,"3_2","8119","Sharni","Layton",3,2,"GK",4,60,0,0,7,0,0,0,0,2,0,23,4,0
2017,80048,"4_4","8119","Sharni","Layton",4,4,"GK",4,60,0,0,5,0,0,0,0,8,0,18,1,0
2017,80048,"5_3","8119","Sharni","Layton",5,3,"GK",4,60,0,0,3,0,0,0,0,4,0,20,2,0
2017,80048,"6_4","8119","Sharni","Layton",6,4,"GK",4,60,0,0,6,0,0,0,0,5,0,15,1,1
2017,80048,"7_4","8119","Sharni","Layton",7,4,"GK",4,60,0,0,5,0,0,0,0,5,0,22,2,0
2017,80048,"8_1","8119","Sharni","Layton",8,1,"GK",4,60,0,0,6,0,0,0,0,4,0,18,4,1
2017,80048,"9_3","8119","Sharni","Layton",9,3,"GK",4,60,0,0,5,0,0,0,0,2,0,19,2,0
2017,80052,"1_2","8119","Caitlin","Thwaites",1,2,"GS",4,60,0,0,0,3,1,48,47,0,3,3,0,5
2017,80052,"10_2","8119","Caitlin","Thwaites",10,2,"GS",4,60,0,0,0,2,1,45,43,0,2,2,2,3
2017,80052,"11_3","8119","Caitlin","Thwaites",11,3,"GS",4,60,0,3,0,3,1,41,33,0,3,7,5,5
